0,0
00:45:08,0.149745595 Image_Scale: 2 Haar_Scale: 2
00:45:09,0.0505240549999 Image_Scale: 3 Haar_Scale: 2
00:45:09,0.591652115 Image_Scale: 1 Haar_Scale: 2
00:45:09,0.145351635 Image_Scale: 2 Haar_Scale: 2
00:45:09,0.0508419800001 Image_Scale: 3 Haar_Scale: 2
00:45:10,0.67381369 Image_Scale: 1 Haar_Scale: 2
00:45:10,0.145404621 Image_Scale: 2 Haar_Scale: 2
00:45:10,0.0496322659999 Image_Scale: 3 Haar_Scale: 2
00:45:11,0.619446543 Image_Scale: 1 Haar_Scale: 2
00:45:11,0.145895505 Image_Scale: 2 Haar_Scale: 2
00:45:11,0.0523186309999 Image_Scale: 3 Haar_Scale: 2
00:45:12,0.591962042 Image_Scale: 1 Haar_Scale: 2
00:45:12,0.142975196 Image_Scale: 2 Haar_Scale: 2
00:45:12,0.0526565499999 Image_Scale: 3 Haar_Scale: 2
00:45:13,0.595196278 Image_Scale: 1 Haar_Scale: 2
00:45:13,0.146334402 Image_Scale: 2 Haar_Scale: 2
00:45:13,0.052559574 Image_Scale: 3 Haar_Scale: 2
00:45:14,0.597199804 Image_Scale: 1 Haar_Scale: 2
00:45:14,0.144642802 Image_Scale: 2 Haar_Scale: 2
00:45:14,0.0507280070001 Image_Scale: 3 Haar_Scale: 2
00:45:15,0.594953335 Image_Scale: 1 Haar_Scale: 2
00:45:15,0.14938768 Image_Scale: 2 Haar_Scale: 2
00:45:15,0.051340862 Image_Scale: 3 Haar_Scale: 2
00:45:15,0.676384081 Image_Scale: 1 Haar_Scale: 2
00:45:16,0.175719455 Image_Scale: 2 Haar_Scale: 2
00:45:16,0.050675019 Image_Scale: 3 Haar_Scale: 2
00:45:16,0.591500151 Image_Scale: 1 Haar_Scale: 2
00:45:17,0.147424144 Image_Scale: 2 Haar_Scale: 2
00:45:17,0.0496842539999 Image_Scale: 3 Haar_Scale: 2
00:45:17,0.592158995 Image_Scale: 1 Haar_Scale: 2
00:45:17,0.144501835 Image_Scale: 2 Haar_Scale: 2
00:45:17,0.0520217009998 Image_Scale: 3 Haar_Scale: 2
00:45:18,0.596340007 Image_Scale: 1 Haar_Scale: 2
00:45:18,0.144995718 Image_Scale: 2 Haar_Scale: 2
00:45:18,0.050607035 Image_Scale: 3 Haar_Scale: 2
00:45:19,0.595257263 Image_Scale: 1 Haar_Scale: 2
00:45:19,0.145417619 Image_Scale: 2 Haar_Scale: 2
00:45:19,0.051330864 Image_Scale: 3 Haar_Scale: 2
00:45:20,0.586425351 Image_Scale: 1 Haar_Scale: 2
00:45:20,0.229613712 Image_Scale: 2 Haar_Scale: 2
00:45:20,0.0507619980001 Image_Scale: 3 Haar_Scale: 2
00:45:21,0.620665256 Image_Scale: 1 Haar_Scale: 2
00:45:21,0.145331639 Image_Scale: 2 Haar_Scale: 2
00:45:21,0.049935194 Image_Scale: 3 Haar_Scale: 2
00:45:22,0.598079595 Image_Scale: 1 Haar_Scale: 2
00:45:22,0.142908213 Image_Scale: 2 Haar_Scale: 2
00:45:22,0.0505000600001 Image_Scale: 3 Haar_Scale: 2
00:45:23,0.591308196 Image_Scale: 1 Haar_Scale: 2
00:45:23,0.145123688 Image_Scale: 2 Haar_Scale: 2
00:45:23,0.0525335790001 Image_Scale: 3 Haar_Scale: 2
00:45:23,0.59954325 Image_Scale: 1 Haar_Scale: 2
00:45:24,0.145382627 Image_Scale: 2 Haar_Scale: 2
00:45:24,0.050760998 Image_Scale: 3 Haar_Scale: 2
00:45:24,0.592386942 Image_Scale: 1 Haar_Scale: 2
00:45:25,0.149324695 Image_Scale: 2 Haar_Scale: 2
00:45:25,0.051462833 Image_Scale: 3 Haar_Scale: 2
00:45:25,0.680731054 Image_Scale: 1 Haar_Scale: 2
00:45:25,0.149967543 Image_Scale: 2 Haar_Scale: 2
00:45:26,0.050601036 Image_Scale: 3 Haar_Scale: 2
00:45:26,0.589723571 Image_Scale: 1 Haar_Scale: 2
00:45:26,0.145122689 Image_Scale: 2 Haar_Scale: 2
